financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier
Fin_rl_1,pure_rl,rl,5392295.660651084,1000000.0,5392295.660651011,4392295.660651011,0.0,0.0,6.0,0.0,1963,1963,0,0.0,71339466.85770044,0.0,0.0,0.0,0,4263,709098,none_default,1000000.0
Fin_rl_2,pure_rl,rl,5541150.48514888,1000000.0,5541150.485148933,4541150.485148933,0.0,0.0,6.0,0.0,2690,2690,0,0.0,89798042.98945335,0.0,0.0,0.0,0,4263,709098,none_default,1000000.0
Fin_rl_3,pure_rl,rl,5740139.244888942,1000000.0,5740139.244889293,4740139.244889293,0.0,0.0,6.0,0.0,2949,2949,0,0.0,97365240.25796641,0.0,0.0,0.0,0,4263,709098,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,5469018.967045753,1000000.0,5469018.967046055,4469018.967046055,0.0,0.0,6.0,0.0,2640,2640,0,0.0,88949737.74581864,0.0,0.0,0.0,0,4253,709098,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5692630.77570139,1000000.0,5692630.77570131,4692630.77570131,0.0,0.0,6.0,0.0,2593,2593,0,0.0,91023326.33761302,0.0,0.0,0.0,0,4253,709098,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5403055.464169456,1000000.0,5403055.4641691595,4403055.4641691595,0.0,0.0,6.0,0.0,2713,2713,0,0.0,90311945.26806146,0.0,0.0,0.0,0,4253,709098,none_default,1000000.0
Fin_rl_1,pure_rl,rl,4462068.903002107,1000000.0,4462068.903002407,3462068.9030024074,0.0,0.0,6.0,0.0,2246,2246,0,0.0,72888214.55899659,0.0,0.0,0.0,0,4257,436570,none_default,1000000.0
Fin_rl_2,pure_rl,rl,4093816.727086309,1000000.0,4093816.7270862754,3093816.7270862754,0.0,0.0,6.0,0.0,1947,1947,0,0.0,65764490.027500115,0.0,0.0,0.0,0,4257,436570,none_default,1000000.0
Fin_rl_3,pure_rl,rl,8185907.620083338,1000000.0,8185907.620081561,7185907.620081561,0.0,0.0,6.0,0.0,3389,3389,0,0.0,117559998.33330561,0.0,0.0,0.0,0,4257,436570,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,4824662.281107924,1000000.0,4824662.281107701,3824662.2811077014,0.0,0.0,6.0,0.0,2451,2451,0,0.0,79790971.38638054,0.0,0.0,0.0,0,4249,436570,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,6103888.723921121,1000000.0,6103888.723921161,5103888.723921161,0.0,0.0,6.0,0.0,2946,2946,0,0.0,98307392.72397956,0.0,0.0,0.0,0,4249,436570,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,4634330.648539118,1000000.0,4634330.648540251,3634330.648540251,0.0,0.0,6.0,0.0,1933,1933,0,0.0,66682119.58235477,0.0,0.0,0.0,0,4249,436570,none_default,1000000.0
Fin_rl_1,pure_rl,rl,5904500.903699333,1000000.0,5904500.903699708,4904500.903699708,0.0,0.0,6.0,0.0,2818,2818,0,0.0,93000844.14727513,0.0,0.0,0.0,0,4259,831197,none_default,1000000.0
Fin_rl_2,pure_rl,rl,4591249.616618423,1000000.0,4591249.616618888,3591249.6166188885,0.0,0.0,6.0,0.0,2216,2216,0,0.0,75674455.45219743,0.0,0.0,0.0,0,4259,831197,none_default,1000000.0
Fin_rl_3,pure_rl,rl,6007025.726260005,1000000.0,6007025.726260277,5007025.726260277,0.0,0.0,6.0,0.0,2685,2685,0,0.0,92088791.46543758,0.0,0.0,0.0,0,4259,831197,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,5585699.3099722825,1000000.0,5585699.309972005,4585699.309972005,0.0,0.0,6.0,0.0,2509,2509,0,0.0,87229236.20812762,0.0,0.0,0.0,0,4267,831197,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,6091199.415016134,1000000.0,6091199.415015845,5091199.415015845,0.0,0.0,6.0,0.0,2940,2940,0,0.0,98297589.14605454,0.0,0.0,0.0,0,4267,831197,none_default,1000000.0
